date;event;venue;time
2025/07/02;Queensland Reds vs British & Irish Lions; Suncorp Stadium, Australia;12:00
2025/07/05;NSW Waratahs vs British & Irish Lions;Allianz Stadium, Australia;12:00
2025/07/09;Burmbies vs British & Irish Lions;GIO Stadium, Australia;12:00
2025/07/12;Invitational Australia & New Zealand vs British & Irish Lions;Adelaide Oval, Australia;12:00
2025/07/19;Australia vs British & Irish Lions;Suncorp Stadium Brisbane;11:45
2025/07/22;First Nations and Pasifika XV vs British & Irish Lions;Marvel Stadium, Australia;12:00
2025/07/26;Australia vs British & Irish Lions;Melbourne Cricket Ground Melbourne;11:45
2025/08/02;Australia vs British & Irish Lions;Accor Stadium, Australia;11:45
